group,mae,max_abs,mse,n_values,rmse,task
arms,0.001171424978630415,0.02167367935180664,2.5447828904793043e-06,114688,0.0015952375655303834,PnPNovelFromCuttingboardToPanSplitA
hands,0.000306800971325701,0.027818381786346436,6.304257737337369e-07,98304,0.0007939935602596138,PnPNovelFromCuttingboardToPanSplitA
left_arm,0.00103670864839949,0.021622121334075928,2.0013811738161758e-06,57344,0.0014147017967812779,PnPNovelFromCuttingboardToPanSplitA
left_hand,0.00031483968721612854,0.01923014223575592,4.918725586703853e-07,49152,0.0007013362664730702,PnPNovelFromCuttingboardToPanSplitA
right_arm,0.00130614130886134,0.02167367935180664,3.0881846071424333e-06,57344,0.0017573231368028003,PnPNovelFromCuttingboardToPanSplitA
right_hand,0.0002987622554352735,0.027818381786346436,7.689789887970875e-07,49152,0.0008769144706281722,PnPNovelFromCuttingboardToPanSplitA
waist,0.0012974210502036954,0.03511449694633484,3.169161119277753e-06,24576,0.0017802137847117555,PnPNovelFromCuttingboardToPanSplitA
arms,0.001223760690896977,0.08272910118103027,3.322310280749899e-06,114688,0.0018227205712203665,PnPNovelFromCuttingboardToPotSplitA
hands,0.0003640271997329784,0.0638415515422821,1.4857168104906697e-06,98304,0.0012188998361188953,PnPNovelFromCuttingboardToPotSplitA
left_arm,0.0010940097829796563,0.08272910118103027,2.7094912212960764e-06,57344,0.0016460532255355767,PnPNovelFromCuttingboardToPotSplitA
left_hand,0.0003776659580354558,0.0638415515422821,1.4870639978294279e-06,49152,0.001219452335201925,PnPNovelFromCuttingboardToPotSplitA
right_arm,0.0013535115988142974,0.06182686984539032,3.93512934020372e-06,57344,0.0019837160432389814,PnPNovelFromCuttingboardToPotSplitA
right_hand,0.000350388441430501,0.06036904826760292,1.4843696231519136e-06,49152,0.0012183470864872265,PnPNovelFromCuttingboardToPotSplitA
waist,0.001395113806042995,0.046778496354818344,4.663610740847137e-06,24576,0.002159539474250734,PnPNovelFromCuttingboardToPotSplitA
arms,0.0011739289383743134,0.028830409049987793,2.6160933767237587e-06,114688,0.0016174341954848608,PnPNovelFromCuttingboardToTieredbasketSplitA
hands,0.000328313793047134,0.04096491262316704,8.766499410159125e-07,98304,0.0009362958619025892,PnPNovelFromCuttingboardToTieredbasketSplitA
left_arm,0.0010535088110116117,0.019168823957443237,2.1324885067512614e-06,57344,0.001460304251432304,PnPNovelFromCuttingboardToTieredbasketSplitA
left_hand,0.0003476383363628284,0.04096491262316704,9.28115260880549e-07,49152,0.000963387388790485,PnPNovelFromCuttingboardToTieredbasketSplitA
