mae,max_abs,mse,n_values,phase,rmse,task
0.002976640618067779,0.03466910868883133,2.3374735257321397e-05,1856,traj_q3,0.004834742522339881,PnPNovelFromTrayToPlateSplitA
0.0029661241776544746,0.025634128600358963,2.3587951667675053e-05,1856,traj_q4,0.004856742907306815,PnPNovelFromTrayToPlateSplitA
0.004869028360378158,0.058323778212070465,7.501825059677798e-05,928,traj_q1,0.008661307672446349,PnPNovelFromTrayToPotSplitA
0.002935971964859338,0.02516334503889084,2.3001873724098546e-05,3248,traj_q2,0.004796026868575545,PnPNovelFromTrayToPotSplitA
0.00273555690560981,0.023811399936676025,1.9574433547810428e-05,1392,traj_q3,0.004424300345569955,PnPNovelFromTrayToPotSplitA
0.0032649024914117664,0.033192411065101624,2.8227152762440046e-05,1856,traj_q4,0.0053129231843157725,PnPNovelFromTrayToPotSplitA
0.004285236345738709,0.09887638688087463,7.325874609691172e-05,2784,traj_q1,0.008559132321497999,PnPNovelFromTrayToTieredbasketSplitA
0.0031403702529529966,0.020500898361206055,2.4619761012288846e-05,1392,traj_q3,0.004961830409464721,PnPNovelFromTrayToTieredbasketSplitA
0.0027573411125513974,0.021417856216430664,1.9095478919921488e-05,3248,traj_q4,0.004369837402000387,PnPNovelFromTrayToTieredbasketSplitA
0.0037418175902060066,0.047705963253974915,4.484046586193898e-05,1856,traj_q1,0.006696302402217136,PnPNovelFromTrayToTieredshelfSplitA
0.0029369192892114244,0.02667611837387085,2.242109266332653e-05,1856,traj_q2,0.004735091621428938,PnPNovelFromTrayToTieredshelfSplitA
0.002562346907482073,0.02245146594941616,1.6398772355124336e-05,464,traj_q3,0.004049539770779432,PnPNovelFromTrayToTieredshelfSplitA
0.0028333286329788607,0.04010695219039917,2.2447156404550827e-05,3248,traj_q4,0.0047378430118093645,PnPNovelFromTrayToTieredshelfSplitA
0.01841517053897447,0.10642799735069275,0.0006983674746376804,2784,traj_q1,0.026426643272229645,PnPPotatoToMicrowaveClose
0.02252771128988915,0.1187947690486908,0.0009127295223417568,464,traj_q2,0.030211413775951577,PnPPotatoToMicrowaveClose
0.020198158724878307,0.11845225095748901,0.0007980694110341655,2320,traj_q3,0.028250122318923956,PnPPotatoToMicrowaveClose
0.019892157890730042,0.10426163673400879,0.0007829413895407264,1856,traj_q4,0.027981089856199782,PnPPotatoToMicrowaveClose
0.01680725960171097,0.10060015320777893,0.000600784898973609,2320,traj_q1,0.02451091387471322,PnPWineToCabinetClose
0.014246975196736709,0.07796257734298706,0.0003585551826509346,1392,traj_q2,0.018935553402288897,PnPWineToCabinetClose
0.018103037525461645,0.10258036851882935,0.00063245474196367,1856,traj_q3,0.02514865288566507,PnPWineToCabinetClose
0.018527058336844517,0.09947174787521362,0.000665636731159028,1856,traj_q4,0.025799936650290983,PnPWineToCabinetClose
