mae,max_abs,mse,n_values,rmse,task,time_group
0.0033229027328537807,0.10076133161783218,3.77816619878936e-05,1856,0.006146678939711558,PnPNovelFromTrayToPlateSplitA,t00_03
0.003113983529491916,0.033330559730529785,2.671043670974328e-05,1856,0.005168214073521266,PnPNovelFromTrayToPlateSplitA,t04_07
0.003193779305735822,0.03466910868883133,2.799562196747505e-05,1856,0.00529108892076811,PnPNovelFromTrayToPlateSplitA,t08_11
0.003403845518732851,0.05064071714878082,3.406269767385428e-05,1856,0.005836325699775012,PnPNovelFromTrayToPlateSplitA,t12_15
0.0032297440247303117,0.02108311653137207,2.6141686749836973e-05,1856,0.005112894165718373,PnPNovelFromTrayToPotSplitA,t00_03
0.0032614644448178045,0.058323778212070465,3.402266581832192e-05,1856,0.005832895148922353,PnPNovelFromTrayToPotSplitA,t04_07
0.003183329714531659,0.04833443462848663,3.1558687687693694e-05,1856,0.005617711961972925,PnPNovelFromTrayToPotSplitA,t08_11
0.0032144971052322693,0.03575234115123749,2.8947341983006715e-05,1856,0.005380273411547662,PnPNovelFromTrayToPotSplitA,t12_15
0.0030023558521924286,0.023763656616210938,2.2501020872163227e-05,1856,0.004743524098406503,PnPNovelFromTrayToTieredbasketSplitA,t00_03
0.004132009503744735,0.09887638688087463,8.024112974174653e-05,1856,0.00895774133036596,PnPNovelFromTrayToTieredbasketSplitA,t04_07
0.0033084241466863674,0.04135851562023163,3.310182249667958e-05,1856,0.005753418331451275,PnPNovelFromTrayToTieredbasketSplitA,t08_11
0.003165689652664226,0.030747562646865845,2.592605490385747e-05,1856,0.005091763437538852,PnPNovelFromTrayToTieredbasketSplitA,t12_15
0.0029269002272077817,0.029971487820148468,2.2904456539504636e-05,1856,0.004785860062674695,PnPNovelFromTrayToTieredshelfSplitA,t00_03
0.0030929190298467865,0.047705963253974915,3.1021440346664595e-05,1856,0.005569689430000976,PnPNovelFromTrayToTieredshelfSplitA,t04_07
0.0029505105463331033,0.0365641787648201,2.6696318036685586e-05,1856,0.005166847978863476,PnPNovelFromTrayToTieredshelfSplitA,t08_11
0.0033073189106132836,0.04010695219039917,3.0021560399155736e-05,1856,0.00547919340771575,PnPNovelFromTrayToTieredshelfSplitA,t12_15
0.022207494318442107,0.1187947690486908,0.0009251607671485263,1856,0.03041645553230235,PnPPotatoToMicrowaveClose,t00_03
0.01913173188848242,0.1054219901561737,0.0007537494312369228,1856,0.027454497468300577,PnPPotatoToMicrowaveClose,t04_07
0.017470222444914946,0.1018756702542305,0.0006338959554127061,1856,0.02517729047003879,PnPPotatoToMicrowaveClose,t08_11
0.019585091275922454,0.10264915227890015,0.000743455592077238,1856,0.02726638208632084,PnPPotatoToMicrowaveClose,t12_15
0.019586206165874094,0.0966385006904602,0.0007164810165641331,1856,0.026767163027936546,PnPWineToCabinetClose,t00_03
0.017256909663391808,0.10060015320777893,0.0005955556815270952,1856,0.024404009537924196,PnPWineToCabinetClose,t04_07
0.01547302847322875,0.09682388603687286,0.000502175116935967,1856,0.022409264087336,PnPWineToCabinetClose,t08_11
0.01600825745950276,0.10258036851882935,0.000503777168800715,1856,0.02244498092671756,PnPWineToCabinetClose,t12_15
