group,mae,max_abs,mse,n_values,rmse,task
hands,0.0003564514629677736,0.004319548606872559,3.294655498370373e-07,3072,0.0005739908969984083,PnPNovelFromPlacematToTieredshelfSplitA
left_arm,0.004995779844648496,0.03633400797843933,4.473752537608725e-05,1792,0.0066886116179732885,PnPNovelFromPlacematToTieredshelfSplitA
left_hand,0.0003184719086372449,0.003505706787109375,2.052265744396617e-07,1536,0.0004530193974209732,PnPNovelFromPlacematToTieredshelfSplitA
right_arm,0.005381288376026662,0.026851177215576172,4.82497360912892e-05,1792,0.0069462029981342465,PnPNovelFromPlacematToTieredshelfSplitA
right_hand,0.0003944310172983023,0.004319548606872559,4.53704525234413e-07,1536,0.0006735759238826852,PnPNovelFromPlacematToTieredshelfSplitA
waist,0.0035919572110287845,0.06682625412940979,2.8389388319107676e-05,768,0.005328169321550102,PnPNovelFromPlacematToTieredshelfSplitA
arms,0.0058032331974950625,0.04738056659698486,6.358678528891564e-05,3584,0.00797413225930669,PnPNovelFromPlateToBowlSplitA
hands,0.0004346761650140252,0.010262608528137207,6.079236675050447e-07,3072,0.0007796945988687139,PnPNovelFromPlateToBowlSplitA
left_arm,0.005577086340610192,0.040028974413871765,5.8132937457202386e-05,1792,0.007624495882168367,PnPNovelFromPlateToBowlSplitA
left_hand,0.00037018269722466357,0.005608022212982178,2.8397838253319696e-07,1536,0.0005328962211661825,PnPNovelFromPlateToBowlSplitA
right_arm,0.006029380054379934,0.04738056659698486,6.90406331206289e-05,1792,0.008309069329391162,PnPNovelFromPlateToBowlSplitA
right_hand,0.0004991696328033868,0.010262608528137207,9.318689524768925e-07,1536,0.0009653335964716511,PnPNovelFromPlateToBowlSplitA
waist,0.004119840955051283,0.08938524127006531,4.118266809183417e-05,768,0.006417372366618145,PnPNovelFromPlateToBowlSplitA
arms,0.006118107565506696,0.04327118396759033,6.588463383496925e-05,3584,0.00811693500250983,PnPNovelFromPlateToCardboardboxSplitA
hands,0.0004897902198498135,0.007062077522277832,5.592773804594714e-07,3072,0.000747848501007705,PnPNovelFromPlateToCardboardboxSplitA
left_arm,0.005584760016274361,0.038362860679626465,5.433887212639442e-05,1792,0.007371490495577839,PnPNovelFromPlateToCardboardboxSplitA
left_hand,0.0004416053246435088,0.007062077522277832,3.7808442033374475e-07,1536,0.00061488569696631,PnPNovelFromPlateToCardboardboxSplitA
right_arm,0.006651455114739032,0.04327118396759033,7.743039554354408e-05,1792,0.008799454275325492,PnPNovelFromPlateToCardboardboxSplitA
right_hand,0.0005379751150561182,0.005282759666442871,7.404703405851982e-07,1536,0.000860505863190483,PnPNovelFromPlateToCardboardboxSplitA
waist,0.003867066974635236,0.021284982562065125,2.5678215793985536e-05,768,0.005067367738183754,PnPNovelFromPlateToCardboardboxSplitA
arms,0.006386408970521578,0.08040161430835724,7.728167005143771e-05,3584,0.008790999377285709,PnPNovelFromPlateToPanSplitA
hands,0.0004561348726876228,0.005067229270935059,5.466316891892505e-07,3072,0.0007393454464519616,PnPNovelFromPlateToPanSplitA
left_arm,0.00604826032524995,0.04794052243232727,6.794915851898443e-05,1792,0.00824312795721287,PnPNovelFromPlateToPanSplitA
left_hand,0.0003880094882333651,0.004457592964172363,3.5796324279580304e-07,1536,0.0005983002948317869,PnPNovelFromPlateToPanSplitA
right_arm,0.006724557615793206,0.08040161430835724,8.661418158389096e-05,1792,0.009306674034470691,PnPNovelFromPlateToPanSplitA
right_hand,0.0005242602571418805,0.005067229270935059,7.353001355826979e-07,1536,0.0008574964347346862,PnPNovelFromPlateToPanSplitA
waist,0.004012509743915871,0.04081833362579346,3.0536676663922296e-05,768,0.005526000060072592,PnPNovelFromPlateToPanSplitA
arms,0.00562755563909637,0.05032271146774292,5.9724887692652234e-05,3584,0.007728187866029929,PnPNovelFromPlateToPlateSplitA
hands,0.0004426050024903816,0.0042226314544677734,5.047189573713843e-07,3072,0.0007104357517547835,PnPNovelFromPlateToPlateSplitA
