group,mae,max_abs,mse,n_values,rmse,task
right_arm,0.005805716960111086,0.16904056072235107,6.26409171431497e-05,229376,0.007914601515120625,PnPNovelFromPlateToPanSplitA
right_hand,0.00045070945150005315,0.011172771453857422,5.745453030040752e-07,196608,0.0007579876667888965,PnPNovelFromPlateToPanSplitA
waist,0.003672886836274832,0.11447708308696747,2.618424637091879e-05,98304,0.005117054462375673,PnPNovelFromPlateToPanSplitA
arms,0.005385874289560856,0.14136725664138794,5.231872611129114e-05,458752,0.0072331684697158226,PnPNovelFromPlateToPlateSplitA
hands,0.00041697202866390154,0.014000892639160156,4.4472736850523236e-07,393216,0.0006668788259535853,PnPNovelFromPlateToPlateSplitA
left_arm,0.004962387543569162,0.082692950963974,4.440804221343893e-05,229376,0.006663935940076174,PnPNovelFromPlateToPlateSplitA
left_hand,0.00038429619732482934,0.011525630950927734,3.151797201438268e-07,196608,0.0005614086926151276,PnPNovelFromPlateToPlateSplitA
right_arm,0.00580936103555255,0.14136725664138794,6.022941000914329e-05,229376,0.0077607609168910295,PnPNovelFromPlateToPlateSplitA
right_hand,0.0004496478600029737,0.014000892639160156,5.742750168666374e-07,196608,0.0007578093539054775,PnPNovelFromPlateToPlateSplitA
waist,0.003697517574371053,0.11041927337646484,2.714961995314436e-05,98304,0.0052105297190539425,PnPNovelFromPlateToPlateSplitA
arms,0.005570132092777839,0.16344290971755981,5.8065484079441395e-05,458752,0.007620071133489594,PnPNovelFromTrayToCardboardboxSplitA
hands,0.0004245903065451066,0.06849443912506104,5.106436821257179e-07,393216,0.0007145933683751325,PnPNovelFromTrayToCardboardboxSplitA
left_arm,0.005256646640692443,0.10552746057510376,5.195043861093285e-05,229376,0.007207665267680849,PnPNovelFromTrayToCardboardboxSplitA
left_hand,0.00040134019635236956,0.06849443912506104,3.849509744199941e-07,196608,0.000620444175103606,PnPNovelFromTrayToCardboardboxSplitA
right_arm,0.005883617544863233,0.16344290971755981,6.418052954794952e-05,229376,0.008011275151182209,PnPNovelFromTrayToCardboardboxSplitA
right_hand,0.0004478404167378436,0.0194627046585083,6.363363898314428e-07,196608,0.0007977069573668283,PnPNovelFromTrayToCardboardboxSplitA
waist,0.003799301831347653,0.27209824323654175,3.4316621374849715e-05,98304,0.0058580390383514615,PnPNovelFromTrayToCardboardboxSplitA
arms,0.0053838458776613385,0.20891541242599487,5.589640318234075e-05,458752,0.007476389715788012,PnPNovelFromTrayToPlateSplitA
hands,0.00043323498357146956,0.05072242021560669,6.100372185110534e-07,393216,0.0007810487939373912,PnPNovelFromTrayToPlateSplitA
left_arm,0.004948368543033155,0.2041991949081421,4.746544894791191e-05,229376,0.00688951732328992,PnPNovelFromTrayToPlateSplitA
left_hand,0.0003988176286355838,0.05072242021560669,4.877268587130987e-07,196608,0.0006983744401917203,PnPNovelFromTrayToPlateSplitA
right_arm,0.005819323212289522,0.20891541242599487,6.432735741676957e-05,229376,0.008020433742433733,PnPNovelFromTrayToPlateSplitA
right_hand,0.0004676523385073554,0.03151702880859375,7.323475783090095e-07,196608,0.0008557730880957928,PnPNovelFromTrayToPlateSplitA
waist,0.004048997720109544,0.23905467987060547,4.5085166043991436e-05,98304,0.006714548833986647,PnPNovelFromTrayToPlateSplitA
arms,0.005491145397088052,0.08174672722816467,5.4137319215588865e-05,458752,0.0073578066851194765,PnPNovelFromTrayToPotSplitA
hands,0.00043246585168876805,0.041277408599853516,5.437468302683699e-07,393216,0.0007373919109051644,PnPNovelFromTrayToPotSplitA
left_arm,0.005184805521768555,0.06332898139953613,4.907659368286157e-05,229376,0.007005468841045656,PnPNovelFromTrayToPotSplitA
left_hand,0.0003869693765352622,0.01142895221710205,3.22743651174025e-07,196608,0.0005681053169739084,PnPNovelFromTrayToPotSplitA
right_arm,0.005797485272407548,0.08174672722816467,5.9198044748316426e-05,229376,0.0076940265627509,PnPNovelFromTrayToPotSplitA
right_hand,0.0004779623268422739,0.041277408599853516,7.647500093627187e-07,196608,0.0008744998624143509,PnPNovelFromTrayToPotSplitA
waist,0.003720473245188316,0.11595158278942108,2.7117321399741326e-05,98304,0.0052074294426080634,PnPNovelFromTrayToPotSplitA
arms,0.005317297101046717,0.11859272420406342,5.1339494139929554e-05,458752,0.007165158347163693,PnPNovelFromTrayToTieredbasketSplitA
hands,0.00040889458298631887,0.009149432182312012,4.2895670914364755e-07,393216,0.0006549478675006489,PnPNovelFromTrayToTieredbasketSplitA
left_arm,0.004902195484448114,0.11859272420406342,4.354520407135874e-05,229376,0.00659887900111517,PnPNovelFromTrayToTieredbasketSplitA
left_hand,0.00036686666073630175,0.008868098258972168,2.865314889303609e-07,196608,0.0005352863616143801,PnPNovelFromTrayToTieredbasketSplitA
right_arm,0.00573239871764532,0.0962458997964859,5.913378420850026e-05,229376,0.007689849426906892,PnPNovelFromTrayToTieredbasketSplitA
right_hand,0.000450922505236336,0.009149432182312012,5.71381929356934e-07,196608,0.0007558980945583432,PnPNovelFromTrayToTieredbasketSplitA
waist,0.0035279347643495385,0.13600336015224457,2.5884017346234144e-05,98304,0.005087633766913077,PnPNovelFromTrayToTieredbasketSplitA
arms,0.005208535475165659,0.1447429656982422,4.947023375069773e-05,458752,0.00703350792639759,PnPNovelFromTrayToTieredshelfSplitA
hands,0.0003913225018214265,0.020408987998962402,4.386185674539148e-07,393216,0.0006622828455078048,PnPNovelFromTrayToTieredshelfSplitA
left_arm,0.004730214950322046,0.07499372959136963,4.00237481513616e-05,229376,0.006326432497969262,PnPNovelFromTrayToTieredshelfSplitA
left_hand,0.0003513548683618713,0.009082496166229248,2.63240332872964e-07,196608,0.0005130695205066893,PnPNovelFromTrayToTieredshelfSplitA
right_arm,0.005686856000009273,0.1447429656982422,5.891671935003366e-05,229376,0.007675722724931748,PnPNovelFromTrayToTieredshelfSplitA
right_hand,0.0004312901352809817,0.020408987998962402,6.13996802034865e-07,196608,0.0007835794803559273,PnPNovelFromTrayToTieredshelfSplitA
waist,0.003432213176336537,0.13105465471744537,2.5085983705027962e-05,98304,0.0050085909899918925,PnPNovelFromTrayToTieredshelfSplitA
arms,0.026617291375526358,0.2481815218925476,0.001110929373481147,458752,0.033330607157403346,PnPPotatoToMicrowaveClose
hands,0.009417605702600381,0.12016481161117554,0.0001981559128272463,393216,0.014076786310349613,PnPPotatoToMicrowaveClose
left_arm,0.02779610502740334,0.1978251338005066,0.001191887522849533,229376,0.03452372405824049,PnPPotatoToMicrowaveClose
left_hand,0.014546843133454482,0.12016481161117554,0.0003576323465064462,196608,0.018911169887303275,PnPPotatoToMicrowaveClose
right_arm,0.025438477723649378,0.2481815218925476,0.0010299712241127604,229376,0.03209316475688804,PnPPotatoToMicrowaveClose
right_hand,0.004288368271746279,0.03313708305358887,3.8679479148046184e-05,196608,0.006219282848371361,PnPPotatoToMicrowaveClose
waist,0.024618670177236623,0.13838335871696472,0.0010372033251504443,98304,0.03220564120073445,PnPPotatoToMicrowaveClose
arms,0.02440342898242801,0.20136311650276184,0.0009836909086692212,458752,0.03136384715989448,PnPWineToCabinetClose
hands,0.007322734818608752,0.08779305219650269,0.00010259845747427012,393216,0.010129089666612204,PnPWineToCabinetClose
left_arm,0.02438413313110997,0.20136311650276184,0.0009739062063165352,229376,0.031207470360741115,PnPWineToCabinetClose
left_hand,0.009049213472280826,0.08779305219650269,0.00014958062521983558,196608,0.012230315826659408,PnPWineToCabinetClose
right_arm,0.024422724833746048,0.15100783109664917,0.0009934756110219034,229376,0.031519448139551924,PnPWineToCabinetClose
right_hand,0.005596256164936679,0.03350067138671875,5.561628972870518e-05,196608,0.00745763298431246,PnPWineToCabinetClose
waist,0.024789583794917764,0.1343429833650589,0.0008240990666994352,98304,0.028707125712955577,PnPWineToCabinetClose
