step,series,action_loss,token_accuracy
57000,当前重启 E256,1.5932896462353794,0.48379076610911975
57250,当前重启 E256,1.586581826210022,0.48596154017881915
57500,当前重启 E256,1.590556870807301,0.484758737412366
57750,当前重启 E256,1.585459514097734,0.4868378693407232
58000,当前重启 E256,1.5906796238639138,0.48629946871237323
58250,当前重启 E256,1.5822090994228015,0.4878172955729745
58500,当前重启 E256,1.5825311162255027,0.4864598431370475
58750,当前重启 E256,1.5894076065583662,0.4848561015996066
59000,当前重启 E256,1.5790393460880627,0.4883900555697354
59250,当前重启 E256,1.580855055288835,0.48885399915955285
59500,当前重启 E256,1.5816099535335193,0.48743927478790283
59750,当前重启 E256,1.574137200008739,0.48746218193661084
60000,当前重启 E256,1.5669016729701648,0.490583750334653
60250,当前重启 E256,1.5780417160554365,0.4877943857149644
60500,当前重启 E256,1.5770352320237593,0.48871080712838605
60750,当前重启 E256,1.5788204995068638,0.48917474529959937
61000,当前重启 E256,1.5763385512612083,0.4895126765424555
61250,当前重启 E256,1.5666064674204045,0.4921244816346602
61500,当前重启 E256,1.5687986395575784,0.49032027613032947
61750,当前重启 E256,1.5709863684394143,0.49094458330761304
62000,当前重启 E256,1.5721867192875256,0.49226193807341834
62250,当前重启 E256,1.5648523460734973,0.49481073834679346
62500,当前重启 E256,1.5746757225556807,0.49031454595652496
62750,当前重启 E256,1.5798163522373547,0.48691805655306036
63000,当前重启 E256,1.5830788178877397,0.4861562793905085
63250,当前重启 E256,1.5795535932887683,0.4885561628775163
63500,当前重启 E256,1.577263669534163,0.48939239707860077
63750,当前重启 E256,1.5733859105543657,0.489552766084671
64000,当前重启 E256,1.5648585666309704,0.4938542273911563
64250,当前重启 E256,1.5667297731746326,0.49314400824633514
64500,当前重启 E256,1.5740104588595303,0.4901541769504547
64750,当前重启 E256,1.5754405585202305,0.4896157736128027
65000,当前重启 E256,1.5690165974877097,0.4919698346744884
65250,当前重启 E256,1.5621661056171765,0.4936079409989444
65500,当前重启 E256,1.5785162015394731,0.487553826787255
65750,当前重启 E256,1.5918724103407427,0.48499357158487494
66000,当前重启 E256,1.574458273974332,0.4911851503632285
66250,当前重启 E256,1.561455867507241,0.49282325397838245
66500,当前重启 E256,1.550146688114513,0.4953777844255621
66750,当前重启 E256,1.5483853816986084,0.4956183406439694
67000,当前重启 E256,1.5499672347849065,0.4953835064714605
67250,当前重启 E256,1.54801682992415,0.4968326037580317
67500,当前重启 E256,1.5516706054860896,0.4972679073160345
67750,当前重启 E256,1.5532106702977961,0.4970731653950431
68000,当前重启 E256,1.5438297336751765,0.4982587857679887
68250,当前重启 E256,1.5372886766086926,0.5014891705729745
68500,当前重启 E256,1.5471696745265613,0.498711266300895
68750,当前重启 E256,1.5501645478335293,0.49789794195782056
69000,当前重启 E256,1.5559554967013272,0.4965633993799036
69250,当前重启 E256,1.5438478101383557,0.499226757071235
69500,当前重启 E256,1.5561179898001931,0.49481647393920203
69750,当前重启 E256,1.5560783798044378,0.49546942114830017
70000,当前重启 E256,1.5478103811090642,0.4973538165742701
70250,当前重启 E256,1.5405113263563677,0.4977604801004583
70500,当前重启 E256,1.5408444946462458,0.49824160066517914
70750,当前重启 E256,1.551257068460638,0.4956297982822765
71000,当前重启 E256,1.5497699867595325,0.4962655712257732
71250,当前重启 E256,1.5465726418928667,0.49688415093855426
71500,当前重启 E256,1.5404481345956975,0.49880290031433105
71750,当前重启 E256,1.530615589835427,0.5020218356089159
72000,当前重启 E256,1.536232124675404,0.5001546225764535
72250,当前重启 E256,1.5427064570513638,0.49762873487039044
72500,当前重启 E256,1.5342040928927334,0.5003092776645314
72750,当前重启 E256,1.5469273220409046,0.49810413880781695
73000,当前重启 E256,1.5544344186782837,0.49479356137188996
73250,当前重启 E256,1.545214598829096,0.4982072358781641
73500,当前重启 E256,1.5440804091366855,0.49928976459936664
73750,当前重启 E256,1.531332167712125,0.5035282237963243
74000,当前重启 E256,1.5360644080422141,0.5030184631997888
74250,当前重启 E256,1.531015482815829,0.5030929148197174
74500,当前重启 E256,1.5271868922493674,0.5029898096214641
74750,当前重启 E256,1.5507412607019597,0.4969242377714677
75000,当前重启 E256,1.5531587925824253,0.4961051913824948
75250,当前重启 E256,1.5415198802947998,0.5006930286234076
75500,当前重启 E256,1.5421600125052712,0.49954177845608105
75750,当前重启 E256,1.542488932609558,0.49774330312555487
76000,当前重启 E256,1.5398710640993984,0.4987456337972121
76250,当前重启 E256,1.538406177000566,0.4990262876857411
76500,当前重启 E256,1.5276410146193071,0.5046851933002472
76750,当前重启 E256,1.5247858654369006,0.505704714493318
77000,当前重启 E256,1.5297398458827625,0.5028752603314139
77250,当前重启 E256,1.527036027474837,0.5046393735842272
77500,当前重启 E256,1.5331052975221113,0.5039692412723195
77750,当前重启 E256,1.540116472677751,0.5005555613474413
78000,当前重启 E256,1.5363790663805874,0.5005784766240553
78250,当前重启 E256,1.5233062288977883,0.5035224909132178
78500,当前重启 E256,1.5231888619336216,0.5050918676636436
78750,当前重启 E256,1.5219194130464033,0.5072053616697138
79000,当前重启 E256,1.5259627320549705,0.5045649138363925
